data
[]
"['DWM1001', 'TWR', 'Real', 'Time', 'Location', 'System']"
[]
"['Copyright', ':', '2016-2019', 'LEAPS', 'and', 'Decawave']"
"['License', ':', 'Please', 'visit', 'https://decawave.com/dwm1001_license']"
"['Compiled', ':', 'Mar', '27', '2019', '03:35:59']"
[]
"['Help', ':', '?', 'or', 'help']"
[]
"['dwm>', 'les']"
"['dwm>', 'CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.03', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.81', 'le_us=4241', 'est[0.87,0.39,0.16,57]']"
"['CD37[0.00,0.00,0.00]=0.99', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.66', 'le_us=3631', 'est[0.89,0.43,0.19,57]']"
"['CD37[0.00,0.00,0.00]=1.06', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.61', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3753', 'est[0.90,0.43,0.28,57]']"
"['CD37[0.00,0.00,0.00]=1.01', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3753', 'est[0.90,0.42,0.34,58]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.72', 'le_us=3723', 'est[0.90,0.42,0.37,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.06', '1495[0.00,4.00,0.00]=3.64', '5B01[4.00,4.00,0.00]=4.79', 'le_us=3753', 'est[0.90,0.42,0.40,58]']"
"['CD37[0.00,0.00,0.00]=0.98', '592F[4.00,0.00,0.00]=3.04', '1495[0.00,4.00,0.00]=3.59', '5B01[4.00,4.00,0.00]=4.73', 'le_us=3906', 'est[0.90,0.42,0.40,57]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.04', '1495[0.00,4.00,0.00]=3.55', '5B01[4.00,4.00,0.00]=4.76', 'le_us=4180', 'est[0.91,0.44,0.39,56]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.63', '5B01[4.00,4.00,0.00]=4.71', 'le_us=3509', 'est[0.90,0.43,0.43,58]']"
"['CD37[0.00,0.00,0.00]=1.00', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.71', '5B01[4.00,4.00,0.00]=4.70', 'le_us=3631', 'est[0.90,0.42,0.45,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.05', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3936', 'est[0.91,0.42,0.45,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.07', '1495[0.00,4.00,0.00]=3.67', '5B01[4.00,4.00,0.00]=4.75', 'le_us=3570', 'est[0.90,0.41,0.48,58]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.10', '1495[0.00,4.00,0.00]=3.65', '5B01[4.00,4.00,0.00]=4.76', 'le_us=3570', 'est[0.87,0.38,0.19,57]']"
"['CD37[0.00,0.00,0.00]=1.02', '592F[4.00,0.00,0.00]=3.11', '1495[0.00,4.00,0.00]=3.62', '5B01[4.00,4.00,0.00]=4.67', 'le_us=3631', 'est[0.88,0.39,0.01,58]']"
